15262524656,Nicolas
Salario,2500
INSS,205.2
Dependente,189.59
Base,2105.21
Aliquota,6.95273e-310
Imposto de Renda,0
13579246832,Hugo
Salario,5000
INSS,66
Dependente,379.18
Base,4554.82
Aliquota,1024.83
Imposto de Renda,373.304
15262524656,Nicolas
Salario,2500
INSS,205.2
Dependente,189.59
Base,2105.21
Aliquota,0
Imposto de Renda,0
15262524656,Nicolas
Salario,2700
INSS,227.055
Dependente,189.59
Base,2283.35
Aliquota,171.252
Imposto de Renda,12.8516
15262524656,Nicolas
Salario,1200
INSS,90
Dependente,0
Base,1110
Aliquota,0
Imposto de Renda,0
15262524656,Nicolas
Salario,7000
INSS,806.009
Dependente,379.18
Base,5814.81
Aliquota,1599.07
Imposto de Renda,714.113
15262524656,Nicolas
Salario,8900
INSS,1959.1
Dependente,379.18
Base,6561.72
Aliquota,1804.47
Imposto de Renda,919.513
15262524656,Nicolas
Salario,1e+15
INSS,1.4e+14
Dependente,379.18
Base,8.6e+14
Aliquota,2.365e+14
Imposto de Renda,2.365e+14
15262524656,Nicolas
Salario,1.58046e+06
INSS,221978
Dependente,379.18
Base,1.35811e+06
Aliquota,373480
Imposto de Renda,372595
15262524656,Nicolas
Salario,9500
INSS,2043.1
Dependente,379.18
Base,7077.72
Aliquota,1946.37
Imposto de Renda,1061.41
15262524656,Nicolas
Salario,9500
INSS,2043.1
Dependente,379.18
Base,7077.72
Aliquota,1946.37
Imposto de Renda,1061.41
