12345678998,Ceci,1
Caixa,0
Receita,25000
Lucro,1200
Despesa,0
Contas a pagar,
Contas a receber,salario,700,mesa,500,
Realizavel a curto prazo,
Realizavel a longo prazo,
Emprestimos,
12345678998,Ceci,2
Caixa,0
Receita,25000
Lucro,1200
Despesa,0
Contas a pagar,
Contas a receber,salario,700,mesada,500,
Realizavel a curto prazo,
Realizavel a longo prazo,
Emprestimos,
12345678998,Ceci,3
Caixa,0
Receita,25000
Lucro,1200
Despesa,0
Contas a pagar,
Contas a receber,salario,700,mesada,500,
Realizavel a curto prazo,
Realizavel a longo prazo,
Emprestimos,
12345678998,Ceci,4
Caixa,0
Receita,25000
Lucro,1200
Despesa,0
Contas a pagar,
Contas a receber,salario,700,mesada,500,
Realizavel a curto prazo,
Realizavel a longo prazo,
Emprestimos,
12345678998,Ceci,5
Caixa,0
Receita,25000
Lucro,25000
Despesa,0
Contas a pagar,
Contas a receber,teste,25000,
Realizavel a curto prazo,
Realizavel a longo prazo,
Emprestimos,
12345678998,Ceci,6
Caixa,0
Receita,25000
Lucro,25000
Despesa,0
Contas a pagar,
Contas a receber,teste,25000,
Realizavel a curto prazo,
Realizavel a longo prazo,
Emprestimos,
12345678998,Ceci,7
Caixa,0
Receita,25000
Lucro,25000
Despesa,0
Contas a pagar,
Contas a receber,teste,25000,
Realizavel a curto prazo,
Realizavel a longo prazo,
Emprestimos,
12345678998,Ceci,8
Caixa,0
Receita,25000
Lucro,25000
Despesa,0
Contas a pagar,
Contas a receber,teste,25000,
Realizavel a curto prazo,
Realizavel a longo prazo,
Emprestimos,
12345678998,Ceci,9
Caixa,0
Receita,25000
Lucro,25000
Despesa,0
Contas a pagar,
Contas a receber,teste,25000,
Realizavel a curto prazo,
Realizavel a longo prazo,
Emprestimos,
12345678998,Ceci,10
Caixa,0
Receita,25000
Lucro,25000
Despesa,0
Contas a pagar,
Contas a receber,teste,25000,
Realizavel a curto prazo,
Realizavel a longo prazo,
Emprestimos,
12345678998,Ceci,11
Caixa,0
Receita,25000
Lucro,25000
Despesa,0
Contas a pagar,
Contas a receber,teste,25000,
Realizavel a curto prazo,
Realizavel a longo prazo,
Emprestimos,
12345678998,Ceci,12
Caixa,0
Receita,25000
Lucro,25000
Despesa,0
Contas a pagar,
Contas a receber,teste,25000,
Realizavel a curto prazo,
Realizavel a longo prazo,
Emprestimos,
